PassengerId,Name,HomePlanet,Destination,CryoSleep,Cabin,Age,Classe_Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Argent_Total,Famille,Transported
0001_01,Maham Ofracculy,Europa,TRAPPIST-1e,False,B/0/P,39.0,Adulte,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False
0002_01,Juanna Vines,Earth,TRAPPIST-1e,False,F/0/S,24.0,Jeune,False,109.0,9.0,25.0,549.0,44.0,736.0,False,True
0003_01,Altark Susent,Europa,TRAPPIST-1e,False,A/0/S,58.0,Vieux,True,43.0,3576.0,0.0,6715.0,49.0,10383.0,True,False
0003_02,Solam Susent,Europa,TRAPPIST-1e,False,A/0/S,33.0,Adulte,False,0.0,1283.0,371.0,3329.0,193.0,5176.0,False,False
0004_01,Willy Santantines,Earth,TRAPPIST-1e,False,F/1/S,16.0,Enfant,False,303.0,70.0,151.0,565.0,2.0,1091.0,False,True
0005_01,Sandie Hinetthews,Earth,PSO J318.5-22,False,F/0/P,44.0,Adulte,False,0.0,483.0,0.0,291.0,0.0,774.0,False,True
0006_01,Billex Jacostaffey,Earth,TRAPPIST-1e,False,F/2/S,26.0,Jeune,False,42.0,1539.0,3.0,0.0,0.0,1584.0,False,True
0006_02,Candra Jacostaffey,Earth,TRAPPIST-1e,True,G/0/S,28.0,Jeune,False,0.0,0.0,0.0,0.0,0.0,0.0,False,True
0007_01,Andona Beston,Earth,TRAPPIST-1e,False,F/3/S,35.0,Adulte,False,0.0,785.0,17.0,216.0,0.0,1018.0,False,True
0008_01,Erraiam Flatic,Europa,55 Cancri e,True,B/1/P,14.0,Enfant,False,0.0,0.0,0.0,0.0,0.0,0.0,True,True
0008_02,Altardr Flatic,Europa,TRAPPIST-1e,True,B/1/P,34.0,Adulte,False,0.0,0.0,0.0,0.0,0.0,0.0,True,True
0008_03,Wezena Flatic,Europa,55 Cancri e,False,B/1/P,45.0,Adulte,False,39.0,7295.0,589.0,110.0,124.0,8157.0,False,True
0009_01,Berers Barne,Mars,TRAPPIST-1e,False,F/1/P,32.0,Adulte,False,73.0,0.0,1123.0,0.0,113.0,1309.0,False,True
0010_01,Reney Baketton,Earth,TRAPPIST-1e,False,G/1/S,48.0,Adulte,False,719.0,1.0,65.0,0.0,24.0,809.0,False,False
0011_01,Elle Bertsontry,Earth,TRAPPIST-1e,False,F/2/P,28.0,Jeune,False,8.0,974.0,12.0,2.0,7.0,1003.0,False,True
